WKT,名称,区域,开放时间,票价信息,说明,CID
POINT (100.5097677 13.7402796),唐人街 (耀华力路),曼谷老城区,全天开放,免费,品尝地道的中国美食,https://maps.google.com/?cid=6365829341215025876
POINT (100.5032671 13.7044191),摩天轮码头夜市 / AsiaAntique,曼谷老城区,17:00-24:00,免费（部分娱乐项目收费）,夜游湄南河?享受美食与购物的乐趣,https://maps.google.com/?cid=14690685404681730134
POINT (100.4970827 13.7589947),考山路夜市,曼谷老城区,,,,https://maps.google.com/?cid=12084105372437763945
POINT (100.488722 13.754733),Tha Maharaj?玛哈纳文青集市,曼谷老城区,,,,https://maps.google.com/?cid=17838790905285758449
POINT (100.4927041 13.7516435),玉佛寺,曼谷老城区,8:30-16:30,与大皇宫套票（约500泰铢）,感受泰国佛教文化的庄严,https://maps.google.com/?cid=3764096327502462600
POINT (100.4915765 13.7498558),大皇宫,曼谷老城区,8:30-16:30,约500泰铢,,https://maps.google.com/?cid=3056950040631135297
POINT (100.4927733 13.7464237),卧佛寺,曼谷老城区,9:00-18:30,约200泰铢,,https://maps.google.com/?cid=9076048512320389678
POINT (100.488444 13.7438652),郑王庙,曼谷老城区,8:00-18:00,约100-200泰铢,俯瞰湄南河的壮丽景色、泰服,https://maps.google.com/?cid=9727099538087655581
POINT (100.494137 13.744147),暹罗博物馆,曼谷老城区,9:00-17:00,约200泰铢,,https://maps.google.com/?cid=3269598140248211104
POINT (100.4956428 13.7457736),曼谷陆军射击场 、 Shooting Range Territorial Defense Department,曼谷老城区,,,,https://maps.google.com/?cid=651527883526395472
POINT (100.4703579 13.7217762),水门寺大佛 / Wat Paknam Phasi Charoen,曼谷老城区,,,,https://maps.google.com/?cid=1209476392033675019
POINT (100.5143204 13.7489052),合成發,曼谷老城区,11:00-22:00,人均约200-500泰铢,黄油扇贝、 沙煲冬粉,https://maps.google.com/?cid=2175222195402104911
POINT (100.5168825 13.7228017),Kha Mu Charoensang Silom,曼谷老城区,,,猪脚饭天花板,https://maps.google.com/?cid=12725268630011624947
POINT (100.5141755 13.7091904),Kuay Jab Mr. Joe,曼谷老城区,,,脆皮五花肉粿汁,https://maps.google.com/?cid=11856941294525804647
POINT (100.5168806 13.7214231),Sky Bar,曼谷老城区,18:00-24:00,消费需点单,,https://maps.google.com/?cid=6421553283667762893
POINT (100.5662949 13.7322349),EmSphere,素坤区,,,,https://maps.google.com/?cid=4676110604453571521
POINT (100.5504245 13.799781),恰图恰市集 /?Chatuchak Weekend Market,素坤区,周六日9:00-18:00,免费,,https://maps.google.com/?cid=10516346959717498187
POINT (100.5671058 13.7584279),乔德夜市 JODD FAIRS Rama 9,素坤区,16:00-24:00,,火山排骨，水果西施,https://maps.google.com/?cid=192428079199292255
POINT (100.5775669 13.7848456),金東尼 / Golden Dome,素坤区,,,人妖秀,https://maps.google.com/?cid=3940694262160281608
POINT (100.5618986 13.7370674),牛仔街 / Soi Cowboy,素坤区,夜晚,,红灯区,"https://maps.google.com/?q=Soi+Cowboy,+Khwaeng+Khlong+Toei+Nuea,+Watthana,+Krung+Thep+Maha+Nakhon+10110,+Thailand&ftid=0x30e29ee33cfb207d:0x1380e8861e2db80a"
POINT (100.5686827 13.7670687),新拉猜达火车夜市 / The One Ratchada,素坤区,,,,https://maps.google.com/?cid=3184249495330552093
POINT (100.5711881 13.7412976),Siesta Head Spa (Sukhumvit 39),素坤区,,,,https://maps.google.com/?cid=12115886729848200389
POINT (100.5807134 13.7222399),水母酒吧 / Tichuca Rooftop Bar,素坤区,,,,https://maps.google.com/?cid=3170203217852474558
POINT (100.6054638 13.6658106),曼谷海军射击场,素坤区,,,,https://maps.google.com/?cid=4333571509914676158
POINT (100.5645075 13.8199716),火车城堡夜市 / Train Night Market DanNeramit,素坤区,,,,https://maps.google.com/?cid=6261097712214687893
POINT (100.6640037 13.81074),泰国迪士尼 巧克力村 /?Chocolate Ville,曼谷外围,15:00-00:00,,,https://maps.google.com/?cid=5177709860383487231
POINT (100.6225741 13.5386026),暹罗古城,曼谷外围,8:00-18:00,约700泰铢,露天博物馆,https://maps.google.com/?cid=3338774114067317447
POINT (99.9586044 13.5201684),丹嫩沙多水上市场,曼谷外围,7:00-17:00,免费（租船需费用）,,https://maps.google.com/?cid=6363252256166896091
POINT (99.99889270000001 13.4075476),美功火车市场? / Talad Rom Hub,曼谷外围,,免费,火车经过 6:20 8:30 9:00 11:10 11:30 14:30 15:30 17:40,https://maps.google.com/?cid=4041140189523030315
POINT (100.6384252 13.8467982),曼谷里多安夜市 / Liap Duan Market,曼谷外围,,, Ram Inthra,https://maps.google.com/?cid=3979685788256529608
POINT (100.70301 13.8654899),Safari World Bangkok,曼谷外围,9:00-17:00,约1200-1800泰铢（不同园区票价）,,https://maps.google.com/?cid=6707430742683712364
POINT (100.7468694 13.6818969),素万那普机场 / Suvarnabhumi Airport,曼谷外围,,,,https://maps.google.com/?cid=1300723721569663495
POINT (100.6054823 13.9150135),曼谷廊曼国际机场 /?Don Mueang International Airport,曼谷外围,,,,https://maps.google.com/?cid=1081146155368972192
POINT (100.8860432 12.9453185),Mood Hotel Pattaya,芭提雅,,,入住酒店,https://maps.google.com/?cid=6153879724733448232
POINT (100.785807 12.920382),The Seathru Kohlarn,芭提雅,,,入住酒店,https://maps.google.com/?cid=17155476262410404237
POINT (100.9653611 13.3382709),Harudot Chonburi by Nana Coffee Roasters,芭提雅,,,,https://maps.google.com/?cid=18431177263664018610
POINT (100.9030294 13.3056876),Casa Tropika Bangsaen,芭提雅,,,,https://maps.google.com/?cid=17038801623021291454
POINT (100.9213851 13.2962579),Bangsaen Fish Market,芭提雅,,,,https://maps.google.com/?cid=15535005360981654955
POINT (100.9258205 13.2926457),日本街 / Bangsaen Toshin,芭提雅,,,,https://maps.google.com/?cid=9085360983650249949
POINT (100.9263944 13.2622548),Taa Chang Bangsaen,芭提雅,,,,https://maps.google.com/?cid=13992049230442241073
POINT (100.8891322 12.9728707),真理寺,芭提雅,8:00-18:00,约500泰铢,欣赏木雕艺术的奇迹,https://maps.google.com/?cid=6187324524438555753
POINT (100.8886785 12.9502055),航站百货 / Terminal 21 Pattaya,芭提雅,,,时尚购物与美食的天堂,https://maps.google.com/?cid=12083156265246897672
POINT (100.884052 12.932562),芭提雅夜市,芭提雅,17:00-24:00,免费,享受泰国夜市的热闹与美食,https://maps.google.com/?cid=10888616715732186430
POINT (100.8746134 12.9273748),芭提雅步行街,芭提雅,18:00-24:00,免费,体验芭提雅的夜生活,https://maps.google.com/?cid=6302742672557827565
POINT (100.857046 12.9150834),Paradise Beach Pattaya,芭提雅,全天开放,免费,享受阳光与沙滩,https://maps.google.com/?cid=16063740272109932400
POINT (100.9046555 12.8678944),Pattaya Floating Market,芭提雅,9:00-18:00,约100泰铢（含船费）,体验泰国水上市场的独特魅力,https://maps.google.com/?cid=7143143329164055768
POINT (100.9024069 12.8468759),网红粉色沙滩 / Tutu Beach,芭提雅,全天开放,,拍照打卡的绝佳地点,https://maps.google.com/?cid=6637021435685029777
POINT (100.957797 12.78982),九世皇庙 / Phra Racha Anusaowari Park,芭提雅,8:00-18:00,,了解泰国皇室的历史,https://maps.google.com/?cid=5034763364501827296
POINT (100.9351314 12.765497),东芭乐园,芭提雅,8:00-18:00,约500泰铢（含表演）,享受泰国文化表演与大象表演,https://maps.google.com/?cid=16118283404099683409
POINT (100.9560315 12.7646977),七珍佛山,芭提雅,全天开放,,感受泰国佛教文化的庄严,https://maps.google.com/?cid=3438377088474524130
POINT (100.7802624 12.9182259),阁兰岛,芭提雅,全天开放,免费（上岛船费约30泰铢）,躺平一天、体验果冻海、白沙滩、拍照打卡,https://maps.google.com/?q=Ko+Lan&ftid=0x310298386eef76d9:0x12b39d7dc3ae41ea
